day,complaint_type,n
2024-02-03T00:00:00.000,Blocked Driveway,487
2024-02-03T00:00:00.000,Damaged Tree,19
2024-02-03T00:00:00.000,Dead/Dying Tree,7
2024-02-03T00:00:00.000,Dirty Condition,98
2024-02-03T00:00:00.000,HEAT/HOT WATER,962
2024-02-03T00:00:00.000,Illegal Fireworks,1
2024-02-03T00:00:00.000,Illegal Parking,1266
2024-02-03T00:00:00.000,Noise - Residential,1025
2024-02-03T00:00:00.000,Noise - Street/Sidewalk,201
2024-02-03T00:00:00.000,Rodent,89
2024-02-03T00:00:00.000,Street Condition,130
2024-02-04T00:00:00.000,Blocked Driveway,491
2024-02-04T00:00:00.000,Damaged Tree,12
2024-02-04T00:00:00.000,Dead/Dying Tree,6
2024-02-04T00:00:00.000,Dirty Condition,103
2024-02-04T00:00:00.000,HEAT/HOT WATER,967
2024-02-04T00:00:00.000,Illegal Fireworks,3
2024-02-04T00:00:00.000,Illegal Parking,1315
2024-02-04T00:00:00.000,Noise - Residential,986
2024-02-04T00:00:00.000,Noise - Street/Sidewalk,210
2024-02-04T00:00:00.000,Rodent,79
2024-02-04T00:00:00.000,Snow or Ice,3
2024-02-04T00:00:00.000,Street Condition,93
2024-02-05T00:00:00.000,Blocked Driveway,522
2024-02-05T00:00:00.000,Damaged Tree,36
2024-02-05T00:00:00.000,Dead/Dying Tree,16
2024-02-05T00:00:00.000,Dirty Condition,185
2024-02-05T00:00:00.000,HEAT/HOT WATER,1283
2024-02-05T00:00:00.000,Illegal Fireworks,1
2024-02-05T00:00:00.000,Illegal Parking,1526
2024-02-05T00:00:00.000,Noise - Residential,565
2024-02-05T00:00:00.000,Noise - Street/Sidewalk,99
2024-02-05T00:00:00.000,Rodent,110
2024-02-05T00:00:00.000,Snow or Ice,7
2024-02-05T00:00:00.000,Street Condition,272
2024-02-06T00:00:00.000,Blocked Driveway,475
2024-02-06T00:00:00.000,Damaged Tree,37
2024-02-06T00:00:00.000,Dead/Dying Tree,11
2024-02-06T00:00:00.000,Dirty Condition,171
2024-02-06T00:00:00.000,HEAT/HOT WATER,1460
2024-02-06T00:00:00.000,Illegal Parking,1536
2024-02-06T00:00:00.000,Noise - Residential,557
2024-02-06T00:00:00.000,Noise - Street/Sidewalk,98
2024-02-06T00:00:00.000,Rodent,113
2024-02-06T00:00:00.000,Snow or Ice,5
2024-02-06T00:00:00.000,Street Condition,280
2024-02-07T00:00:00.000,Blocked Driveway,495
2024-02-07T00:00:00.000,Damaged Tree,26
2024-02-07T00:00:00.000,Dead/Dying Tree,9
2024-02-07T00:00:00.000,Dirty Condition,158
2024-02-07T00:00:00.000,HEAT/HOT WATER,1061
2024-02-07T00:00:00.000,Illegal Parking,1468
2024-02-07T00:00:00.000,Noise - Residential,556
2024-02-07T00:00:00.000,Noise - Street/Sidewalk,185
2024-02-07T00:00:00.000,Rodent,120
2024-02-07T00:00:00.000,Snow or Ice,2
2024-02-07T00:00:00.000,Street Condition,261
2024-02-08T00:00:00.000,Blocked Driveway,504
2024-02-08T00:00:00.000,Damaged Tree,23
2024-02-08T00:00:00.000,Dead/Dying Tree,13
2024-02-08T00:00:00.000,Dirty Condition,142
2024-02-08T00:00:00.000,HEAT/HOT WATER,858
2024-02-08T00:00:00.000,Illegal Fireworks,2
2024-02-08T00:00:00.000,Illegal Parking,1672
2024-02-08T00:00:00.000,Noise - Residential,586
2024-02-08T00:00:00.000,Noise - Street/Sidewalk,149
2024-02-08T00:00:00.000,Rodent,96
2024-02-08T00:00:00.000,Street Condition,239
2024-02-09T00:00:00.000,Blocked Driveway,448
2024-02-09T00:00:00.000,Damaged Tree,18
2024-02-09T00:00:00.000,Dead/Dying Tree,9
2024-02-09T00:00:00.000,Dirty Condition,152
2024-02-09T00:00:00.000,HEAT/HOT WATER,671
2024-02-09T00:00:00.000,Illegal Fireworks,67
2024-02-09T00:00:00.000,Illegal Parking,1450
2024-02-09T00:00:00.000,Noise - Residential,772
2024-02-09T00:00:00.000,Noise - Street/Sidewalk,321
2024-02-09T00:00:00.000,Rodent,95
2024-02-09T00:00:00.000,Street Condition,189
2024-02-10T00:00:00.000,Blocked Driveway,443
2024-02-10T00:00:00.000,Damaged Tree,26
2024-02-10T00:00:00.000,Dead/Dying Tree,9
2024-02-10T00:00:00.000,Dirty Condition,154
2024-02-10T00:00:00.000,HEAT/HOT WATER,551
2024-02-10T00:00:00.000,Illegal Fireworks,101
2024-02-10T00:00:00.000,Illegal Parking,1383
2024-02-10T00:00:00.000,Noise - Residential,1052
2024-02-10T00:00:00.000,Noise - Street/Sidewalk,401
2024-02-10T00:00:00.000,Rodent,106
2024-02-10T00:00:00.000,Street Condition,113
2024-02-11T00:00:00.000,Blocked Driveway,475
2024-02-11T00:00:00.000,Damaged Tree,17
2024-02-11T00:00:00.000,Dead/Dying Tree,4
2024-02-11T00:00:00.000,Dirty Condition,151
2024-02-11T00:00:00.000,HEAT/HOT WATER,694
2024-02-11T00:00:00.000,Illegal Fireworks,87
2024-02-11T00:00:00.000,Illegal Parking,1417
2024-02-11T00:00:00.000,Noise - Residential,1108
2024-02-11T00:00:00.000,Noise - Street/Sidewalk,298
2024-02-11T00:00:00.000,Rodent,81
2024-02-11T00:00:00.000,Street Condition,90
2024-02-12T00:00:00.000,Blocked Driveway,517
2024-02-12T00:00:00.000,Damaged Tree,25
2024-02-12T00:00:00.000,Dead/Dying Tree,12
2024-02-12T00:00:00.000,Dirty Condition,160
2024-02-12T00:00:00.000,HEAT/HOT WATER,1013
2024-02-12T00:00:00.000,Illegal Fireworks,11
2024-02-12T00:00:00.000,Illegal Parking,1361
2024-02-12T00:00:00.000,Noise - Residential,656
2024-02-12T00:00:00.000,Noise - Street/Sidewalk,157
2024-02-12T00:00:00.000,Rodent,155
2024-02-12T00:00:00.000,Snow or Ice,2
2024-02-12T00:00:00.000,Street Condition,185
2024-02-13T00:00:00.000,Blocked Driveway,406
2024-02-13T00:00:00.000,Damaged Tree,150
2024-02-13T00:00:00.000,Dead/Dying Tree,15
2024-02-13T00:00:00.000,Dirty Condition,53
2024-02-13T00:00:00.000,HEAT/HOT WATER,1319
2024-02-13T00:00:00.000,Illegal Fireworks,6
2024-02-13T00:00:00.000,Illegal Parking,830
2024-02-13T00:00:00.000,Noise - Residential,605
2024-02-13T00:00:00.000,Noise - Street/Sidewalk,62
2024-02-13T00:00:00.000,Rodent,86
2024-02-13T00:00:00.000,Snow or Ice,184
2024-02-13T00:00:00.000,Street Condition,151
2024-02-14T00:00:00.000,Blocked Driveway,433
2024-02-14T00:00:00.000,Damaged Tree,62
2024-02-14T00:00:00.000,Dead/Dying Tree,9
2024-02-14T00:00:00.000,Dirty Condition,83
2024-02-14T00:00:00.000,HEAT/HOT WATER,1353
2024-02-14T00:00:00.000,Illegal Fireworks,3
2024-02-14T00:00:00.000,Illegal Parking,1249
2024-02-14T00:00:00.000,Noise - Residential,539
2024-02-14T00:00:00.000,Noise - Street/Sidewalk,93
2024-02-14T00:00:00.000,Rodent,85
2024-02-14T00:00:00.000,Snow or Ice,383
2024-02-14T00:00:00.000,Street Condition,236
2024-02-15T00:00:00.000,Blocked Driveway,447
2024-02-15T00:00:00.000,Damaged Tree,36
2024-02-15T00:00:00.000,Dead/Dying Tree,17
2024-02-15T00:00:00.000,Dirty Condition,96
2024-02-15T00:00:00.000,HEAT/HOT WATER,1289
2024-02-15T00:00:00.000,Illegal Fireworks,3
2024-02-15T00:00:00.000,Illegal Parking,1304
2024-02-15T00:00:00.000,Noise - Residential,611
2024-02-15T00:00:00.000,Noise - Street/Sidewalk,72
2024-02-15T00:00:00.000,Rodent,100
2024-02-15T00:00:00.000,Snow or Ice,104
2024-02-15T00:00:00.000,Street Condition,247
2024-02-16T00:00:00.000,Blocked Driveway,473
2024-02-16T00:00:00.000,Damaged Tree,57
2024-02-16T00:00:00.000,Dead/Dying Tree,11
2024-02-16T00:00:00.000,Dirty Condition,118
2024-02-16T00:00:00.000,HEAT/HOT WATER,1059
2024-02-16T00:00:00.000,Illegal Fireworks,1
2024-02-16T00:00:00.000,Illegal Parking,1373
2024-02-16T00:00:00.000,Noise - Residential,660
2024-02-16T00:00:00.000,Noise - Street/Sidewalk,117
2024-02-16T00:00:00.000,Rodent,95
2024-02-16T00:00:00.000,Snow or Ice,14
